
BUSES AND NODES IN ACTIVE CIRCUIT: grid_model

                                    Coord                                 Number of     Nodes
  Bus          Base kV             (x, y)                      Keep?       Nodes        connected ...

"sourcebus"  10.000          (           NA,            NA )     No           3          1    2    3 
"389"         0.400          ( 166.631999   , 109.095      )     No           3          1    2    3 
"390"         0.400          ( 167.771001   , 109.587      )     No           3          1    2    3 
"391"         0.400          ( 169.207      , 109.588      )     No           3          1    2    3 
"392"         0.400          ( 108.683999   , 121.447      )     No           3          1    2    3 
"393"         0.400          ( 108.683999   , 121.447      )     No           3          1    2    3 
"394"         0.400          ( 92.97        , 68.682999    )     No           3          1    2    3 
"395"         0.400          ( 94.962999    , 70.035       )     No           3          1    2    3 
"396"         0.400          ( 95.207       , 70.533       )     No           3          1    2    3 
"397"         0.400          ( 94.749       , 69.161       )     No           3          1    2    3 
"398"         0.400          ( 94.536       , 68.856       )     No           3          1    2    3 
"399"         0.400          ( 94.098999    , 68.560999    )     No           3          1    2    3 
"400"         0.400          ( 93.691999    , 68.876       )     No           3          1    2    3 
"401"         0.400          ( 93.885       , 71.315999    )     No           3          1    2    3 
"402"         0.400          ( 94.149       , 72.027       )     No           3          1    2    3 
"403"         0.400          ( 97.713       , 81.06        )     No           3          1    2    3 
"404"         0.400          ( 98.049001    , 80.156       )     No           3          1    2    3 
"405"         0.400          ( 94.066       , 94.554       )     No           3          1    2    3 
"406"         0.400          ( 94.275       , 94.822       )     No           3          1    2    3 
"407"         0.400          ( 100.872999   , 92.488       )     No           3          1    2    3 
"408"         0.400          ( 149.372      , 120.182      )     No           3          1    2    3 
"409"         0.400          ( 149.372      , 120.182      )     No           3          1    2    3 
"410"         0.400          ( 149.682      , 120.426      )     No           3          1    2    3 
"411"         0.400          ( 149.682      , 120.426      )     No           3          1    2    3 
"412"         0.400          ( 157.5        , 110.288001   )     No           3          1    2    3 
"413"         0.400          ( 156.808      , 111.786      )     No           3          1    2    3 
"414"         0.400          ( 180.453001   , 108.721      )     No           3          1    2    3 
"415"         0.400          ( 165.807999   , 108.046      )     No           3          1    2    3 
"416"         0.400          ( 167.728001   , 109.432      )     No           3          1    2    3 
"417"         0.400          ( 169.178      , 109.472999   )     No           3          1    2    3 
"418"         0.400          ( 108.876      , 121.595      )     No           3          1    2    3 
"419"         0.400          ( 108.876      , 121.595      )     No           3          1    2    3 
"420"         0.400          ( 92.913       , 68.714       )     No           3          1    2    3 
"421"         0.400          ( 94.933       , 69.598001    )     No           3          1    2    3 
"422"         0.400          ( 95.207       , 70.238       )     No           3          1    2    3 
"423"         0.400          ( 94.779999    , 69.039       )     No           3          1    2    3 
"424"         0.400          ( 94.617       , 68.754       )     No           3          1    2    3 
"425"         0.400          ( 94.19        , 68.429       )     No           3          1    2    3 
"426"         0.400          ( 93.732       , 68.734       )     No           3          1    2    3 
"427"         0.400          ( 93.468       , 69.486       )     No           3          1    2    3 
"428"         0.400          ( 94.017       , 72.017       )     No           3          1    2    3 
"429"         0.400          ( 97.76        , 80.864       )     No           3          1    2    3 
"430"         0.400          ( 105.631001   , 72.596       )     No           3          1    2    3 
"431"         0.400          ( 87.151       , 96.08        )     No           3          1    2    3 
"432"         0.400          ( 93.613       , 95.007       )     No           3          1    2    3 
"433"         0.400          ( 100.942999   , 92.477       )     No           3          1    2    3 
"434"         0.400          ( 149.388      , 120.361      )     No           3          1    2    3 
"435"         0.400          ( 149.388      , 120.361      )     No           3          1    2    3 
"436"         0.400          ( 149.861001   , 120.638      )     No           3          1    2    3 
"437"         0.400          ( 149.861001   , 120.638      )     No           3          1    2    3 
"438"         0.400          ( 157.535      , 110.041      )     No           3          1    2    3 
"439"         0.400          ( 155.525      , 112.07       )     No           3          1    2    3 
"440"         0.400          ( 182.414999   , 108.622      )     No           3          1    2    3 
